Wavelength	Counts
828.09	493.00
828.41	569.00
828.74	477.75
829.07	590.13
829.39	792.50
829.72	689.00
830.04	675.88
830.37	591.13
830.70	697.50
831.02	780.63
831.35	746.13
831.67	541.00
832.00	891.88
832.32	785.13
832.65	586.50
832.97	411.63
833.30	403.38
833.62	556.63
833.95	305.63
834.27	636.13
834.60	503.50
834.92	780.75
835.25	338.50
835.57	398.50
835.90	458.00
836.22	747.88
836.55	583.50
836.87	262.25
837.20	423.13
837.52	409.75
837.85	320.75
838.17	808.38
838.49	476.13
838.82	258.63
839.14	458.63
839.47	543.50
839.79	231.13
840.12	701.50
840.44	580.75
840.76	423.00
841.09	221.00
841.41	677.88
841.74	575.38
842.06	524.00
842.38	352.00
842.71	483.63
843.03	606.63
843.35	596.00
843.68	327.00
844.00	714.38
844.32	401.00
844.65	466.63
844.97	411.63
845.29	623.75
845.62	714.38
845.94	384.13
846.26	363.63
846.59	393.88
846.91	297.75
847.23	549.25
847.56	201.13
847.88	285.75
848.20	458.50
848.52	382.50
848.85	306.75
849.17	704.00
849.49	557.00
849.82	258.50
850.14	286.50
850.46	176.00
850.78	469.63
851.10	579.50
851.43	192.88
851.75	469.75
852.07	272.63
852.39	489.00
852.72	667.25
853.04	428.13
853.36	125.50
853.68	390.13
854.00	151.75
854.33	209.00
854.65	422.25
854.97	172.63
855.29	310.63
855.61	483.63
855.93	536.63
856.26	466.00
856.58	307.50
856.90	356.88
857.22	636.38
857.54	250.50
857.86	178.38
858.18	241.00
858.50	265.00
858.83	208.75
859.15	227.13
859.47	564.13
859.79	435.13
860.11	211.50
860.43	105.50
860.75	60.13
861.07	388.38
861.39	643.13
861.71	213.13
862.03	166.25
862.35	72.38
862.67	500.63
863.00	355.38
863.32	539.75
863.64	331.75
863.96	356.38
864.28	468.13
864.60	300.25
864.92	423.00
865.24	610.75
865.56	188.13
865.88	88.13
866.20	403.13
866.52	210.50
866.84	16.50
867.16	225.25
867.48	272.50
867.80	348.25
868.11	75.50
868.43	89.88
868.75	241.13
869.07	128.38
869.39	253.38
869.71	143.00
870.03	495.00
870.35	228.25
870.67	517.38
870.99	400.63
871.31	465.88
871.63	2.13
871.95	218.50
872.26	581.75
872.58	414.75
872.90	129.75
873.22	513.13
873.54	97.75
873.86	165.50
874.18	339.00
874.50	198.63
874.81	146.13
875.13	270.38
875.45	135.50
875.77	368.75
876.09	258.13
876.41	130.13
876.72	319.13
877.04	572.50
877.36	475.50
877.68	564.13
878.00	205.38
878.31	445.88
878.63	517.00
878.95	223.13
879.27	93.13
879.58	419.13
879.90	498.25
880.22	209.63
880.54	561.88
880.85	195.63
881.17	494.88
881.49	91.75
881.81	300.00
882.12	81.50
882.44	178.00
882.76	227.75
883.08	18.13
883.39	188.75
883.71	173.13
884.03	72.00
884.34	361.75
884.66	175.13
884.98	562.38
885.29	332.13
885.61	568.38
885.93	14.63
886.24	171.25
886.56	322.50
886.88	372.88
887.19	467.25
887.51	245.63
887.82	315.38
888.14	162.75
888.46	246.50
888.77	-48.50
889.09	-45.50
889.41	351.38
889.72	132.50
890.04	454.00
890.35	427.50
890.67	387.88
890.98	554.13
891.30	405.88
891.62	254.25
891.93	279.63
892.25	104.63
892.56	72.13
892.88	73.63
893.19	132.00
893.51	153.88
893.82	-41.00
894.14	-25.50
894.45	484.88
894.77	421.88
895.08	160.00
895.40	465.38
895.71	49.00
896.03	-13.75
896.34	243.50
896.66	55.38
896.97	256.38
897.29	54.13
897.60	406.88
897.92	448.50
898.23	158.25
898.55	75.63
898.86	469.63
899.18	416.50
899.49	486.25
899.80	-22.75
900.12	-2.63
900.43	376.25
900.75	-48.75
901.06	432.25
901.37	503.63
901.69	457.88
902.00	385.50
902.32	217.13
902.63	199.88
902.94	456.25
903.26	506.50
903.57	153.88
903.88	473.50
904.20	110.50
904.51	165.25
904.82	-75.88
905.14	85.75
905.45	253.75
905.76	25.50
906.08	498.63
906.39	520.13
906.70	314.13
907.02	409.13
907.33	159.00
907.64	139.00
907.96	306.38
908.27	-34.00
908.58	293.63
